Theater Name,Film Title,Format,Showtime,Daypart,Ticket Type,Price,Capacity,Previous Price,Price_Change
AMC Albuquerque 12,Americana (2025),2D,1:30p,Matinee,Adult,$7.74,N/A,N/A,N/A
AMC Albuquerque 12,Americana (2025),2D,1:30p,Matinee,Senior,$6.88,N/A,N/A,N/A
AMC Albuquerque 12,Americana (2025),2D,1:30p,Matinee,Child,$6.02,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,1:00p,Matinee,Adult,$7.74,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,1:00p,Matinee,Senior,$6.88,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,1:00p,Matinee,Child,$6.02,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,3:30p,Matinee,Adult,$7.74,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,3:30p,Matinee,Senior,$6.88,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,3:30p,Matinee,Child,$6.02,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,6:00p,Prime,Adult,$9.68,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,6:00p,Prime,Senior,$8.60,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,6:00p,Prime,Child,$7.52,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,8:30p,Prime,Adult,$9.68,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,8:30p,Prime,Senior,$8.60,N/A,N/A,N/A
AMC Albuquerque 12,Nobody 2 (2025),2D,8:30p,Prime,Child,$7.52,N/A,N/A,N/A
AMC Albuquerque 12,Shin Godzilla 4K (2025),2D,7:00p,Prime,Adult,$9.68,N/A,N/A,N/A
AMC Albuquerque 12,Shin Godzilla 4K (2025),2D,7:00p,Prime,Senior,$8.60,N/A,N/A,N/A
AMC Albuquerque 12,Shin Godzilla 4K (2025),2D,7:00p,Prime,Child,$7.52,N/A,N/A,N/A
AMC Albuquerque 12,Freakier Friday (2025),2D,1:20p,Matinee,Adult,$7.74,N/A,N/A,N/A
AMC Albuquerque 12,Freakier Friday (2025),2D,1:20p,Matinee,Senior,$6.88,N/A,N/A,N/A
