Theater Name,Film Title,Format,Showtime,Daypart,Ticket Type,Price,Capacity,Previous Price,Price_Change
AMC Burbank 16,Nobody 2 (2025),2D,12:30p,Matinee,Adult,$20.59,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,12:30p,Matinee,Senior,$19.39,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,12:30p,Matinee,Child,$18.19,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,3:00p,Matinee,Adult,$20.59,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,3:00p,Matinee,Senior,$19.39,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,3:00p,Matinee,Child,$18.19,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,5:30p,Twilight,Adult,$24.49,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,5:30p,Twilight,Senior,$22.99,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,5:30p,Twilight,Child,$21.49,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,8:00p,Prime,Adult,$24.49,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,8:00p,Prime,Senior,$22.99,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,8:00p,Prime,Child,$21.49,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,10:30p,Late Night,Adult,$24.49,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,10:30p,Late Night,Senior,$22.99,N/A,N/A,N/A
AMC Burbank 16,Nobody 2 (2025),2D,10:30p,Late Night,Child,$21.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,8:30p,Prime,Adult,$24.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,8:30p,Prime,Senior,$22.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,8:30p,Prime,Child,$21.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,1:00p,Matinee,Adult,$15.59,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,1:00p,Matinee,Senior,$14.39,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,1:00p,Matinee,Child,$13.19,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,4:10p,Twilight,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,4:10p,Twilight,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,4:10p,Twilight,Child,$16.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,7:00p,Prime,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,7:00p,Prime,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,7:00p,Prime,Child,$16.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,7:20p,Prime,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,7:20p,Prime,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,7:20p,Prime,Child,$16.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,9:15p,Late Night,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,9:15p,Late Night,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,9:15p,Late Night,Child,$16.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,10:25p,Late Night,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,10:25p,Late Night,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,10:25p,Late Night,Child,$16.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,12:30p,Matinee,Adult,$16.59,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,12:30p,Matinee,Senior,$15.39,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,12:30p,Matinee,Child,$14.19,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,3:40p,Matinee,Adult,$16.59,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,3:40p,Matinee,Senior,$15.39,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,3:40p,Matinee,Child,$14.19,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,6:20p,Prime,Adult,$23.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,6:20p,Prime,Senior,$21.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,6:20p,Prime,Child,$20.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,9:40p,Late Night,Adult,$23.49,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,9:40p,Late Night,Senior,$21.99,N/A,N/A,N/A
AMC Burbank 16,Weapons (2025),2D,9:40p,Late Night,Child,$20.49,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,2:00p,Matinee,Adult,$15.59,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,2:00p,Matinee,Senior,$14.39,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,2:00p,Matinee,Child,$13.19,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,4:25p,Twilight,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,4:25p,Twilight,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,4:25p,Twilight,Child,$16.49,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,8:10p,Prime,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,8:10p,Prime,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,8:10p,Prime,Child,$16.49,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,9:55p,Late Night,Adult,$19.49,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,9:55p,Late Night,Senior,$17.99,N/A,N/A,N/A
AMC Burbank 16,The Naked Gun (2025),2D,9:55p,Late Night,Child,$16.49,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,1:00p,Matinee,Adult,$20.79,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,1:00p,Matinee,Senior,$19.59,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,1:00p,Matinee,Child,$18.39,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,3:30p,Matinee,Adult,$20.79,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,3:30p,Matinee,Senior,$19.59,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,3:30p,Matinee,Child,$18.39,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,6:00p,Prime,Adult,$24.49,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,6:00p,Prime,Senior,$22.99,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,6:00p,Prime,Child,$21.49,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,8:30p,Prime,Adult,$24.49,N/A,N/A,N/A
AMC The Americana at Brand 18,Nobody 2 (2025),2D,8:30p,Prime,Senior,$22.99,N/A,N/A,N/A
