timestamp,mode,num_theaters,num_showings,duration_seconds
2025-10-09T20:45:38.926524,Showtime Discovery,1,0,0.000186
2025-10-09T20:45:39.814924,Showtime Discovery,1,0,0.000148
2025-10-09T20:45:40.587454,Showtime Discovery,1,0,0.000145
2025-10-09T20:45:41.255504,Showtime Discovery,1,0,0.000171
2025-10-09T20:45:42.056849,Showtime Discovery,1,0,0.000147
2025-10-09T20:45:42.759733,Showtime Discovery,1,0,0.000211
2025-10-09T20:45:47.472876,Showtime Discovery,2,0,0.000144
2025-10-09T20:47:30.249294,Showtime Discovery,1,0,0.000187
2025-10-09T20:47:31.309964,Showtime Discovery,1,0,0.000161
2025-10-09T20:47:32.183624,Showtime Discovery,1,0,0.000144
2025-10-09T20:52:11.601142,Showtime Discovery,1,0,0.000188
2025-10-09T21:01:56.508684,Showtime Discovery,1,0,0.000161
2025-10-09T21:01:57.568699,Showtime Discovery,1,0,0.000155
2025-10-09T21:03:36.956585,Showtime Discovery,1,19,1.57285
2025-10-09T21:04:26.891359,Market Mode,1,0,30.91773
2025-10-09T21:06:23.255703,Market Mode,1,0,30.943504
2025-10-09T21:07:41.264399,Showtime Discovery,1,19,1.599557
2025-10-09T21:09:19.881254,Market Mode,1,0,30.938522
2025-10-09T21:10:07.773288,Market Mode,1,0,30.942917
2025-10-09T21:12:26.386392,Market Mode,1,0,30.967516
2025-10-09T21:14:54.826416,Showtime Discovery,1,19,2.650572
2025-10-09T21:15:46.427486,Market Mode,1,0,30.983338
2025-10-09T21:22:39.322226,Showtime Discovery,1,19,1.760228
2025-10-09T21:23:24.973215,Market Mode,1,0,30.930932
2025-10-09T21:25:50.157339,Showtime Discovery,1,19,1.631533
2025-10-09T21:26:31.119273,Market Mode,1,0,30.91461
2025-10-09T21:31:48.529723,Showtime Discovery,1,19,1.893739
2025-10-09T21:32:30.005188,Market Mode,1,0,30.974371
2025-10-09T21:39:08.577723,Market Mode,1,0,30.961859
2025-10-09T21:43:47.401598,Showtime Discovery,1,19,1.728186
2025-10-09T21:44:27.225057,Market Mode,1,0,30.965082
2025-10-09T21:51:51.225288,Showtime Discovery,1,19,1.591736
2025-10-09T21:52:30.491952,Market Mode,1,0,30.940575
2025-10-09T21:57:05.605003,Showtime Discovery,1,19,1.838249
2025-10-09T21:57:47.367156,Market Mode,1,0,30.945727
2025-10-09T22:25:58.203574,Showtime Discovery,1,19,1.631903
2025-10-09T22:28:30.169214,Market Mode,1,0,30.946708
2025-10-09T22:37:27.300367,Showtime Discovery,1,19,1.633504
2025-10-09T22:38:15.556840,Market Mode,1,0,33.257985
2025-10-09T23:01:12.893240,Market Mode,1,0,33.475492
2025-10-09T23:24:15.707143,Showtime Discovery,1,19,1.679466
2025-10-09T23:25:00.266704,Market Mode,1,0,33.425417
2025-10-09T23:33:21.542517,Showtime Discovery,1,19,1.700748
2025-10-09T23:34:16.841867,Showtime Discovery,1,19,1.487313
2025-10-09T23:34:32.468936,Market Mode,1,1,4.837855
2025-10-20T19:20:31.425768,Showtime Discovery,9,321,3.68768
2025-10-20T19:40:03.286456,Operating Hours,10,678,38.970093
2025-10-20T19:47:54.276172,Operating Hours,10,678,37.500838
2025-10-20T19:57:56.555211,Poster Board,34,28,98.11029400000001
2025-10-22T09:15:12.703634,Showtime Discovery,9,321,7.047625
2025-10-22T09:18:22.212871,Market Mode,2,11,21.170845
2025-10-22T18:30:30.493752,Showtime Discovery,1,133,1.867091
2025-10-22T18:32:16.562677,CompSnipe Mode,1,6,10.048714
2025-10-22T22:36:22.313752,Operating Hours,78,29390,218.003137
2025-10-23T11:13:08.133533,Showtime Discovery,9,538,12.333728
2025-10-23T11:19:02.472152,Showtime Discovery,2,52,2.718468
2025-10-23T11:20:03.880177,Market Mode,2,5,17.674577
2025-10-24T11:09:55.950633,Showtime Discovery,9,541,9.87446
2025-10-24T11:15:02.958943,Market Mode,9,71,133.450162
