Theater Name,Film Title,Format,Showtime,Daypart,Ticket Type,Price,Capacity,Previous Price,Price_Change
Movie Tavern West 7th Street,Marcus Mystery Movie,2D,7:00p,Unknown,General Admission,$6.50,N/A,N/A,N/A
Movie Tavern Hulen,Marcus Mystery Movie,2D,7:00p,Unknown,General Admission,$6.50,N/A,N/A,N/A
AMC DINE-IN Clearfork 8,AMC Screen Unseen: August 18,2D,7:00p,Unknown,Adult,$7.31,N/A,N/A,N/A
AMC DINE-IN Clearfork 8,AMC Screen Unseen: August 18,2D,7:00p,Unknown,Child,$7.31,N/A,N/A,N/A
AMC DINE-IN Clearfork 8,AMC Screen Unseen: August 18,2D,7:00p,Unknown,Senior,$7.31,N/A,N/A,N/A
AMC Palace 9,AMC Screen Unseen: August 18,2D,7:00p,Unknown,Adult,$6.77,N/A,N/A,N/A
AMC Palace 9,AMC Screen Unseen: August 18,2D,7:00p,Unknown,Child,$6.77,N/A,N/A,N/A
AMC Palace 9,AMC Screen Unseen: August 18,2D,7:00p,Unknown,Senior,$6.77,N/A,N/A,N/A
Regal Fossil Creek,Monday Mystery Movie,2D,7:00p,Unknown,General Admission,$5.41,N/A,N/A,N/A
